,electricPanel,hoist,ladder,lift,overhead,push,sit,stand,type,walk,accuracy
precision,0.9,0.97,1.0,0.93,1.0,0.96,0.67,0.82,0.83,1.0,0.92
recall,1.0,0.97,0.85,1.0,1.0,1.0,0.89,1.0,0.56,1.0,0.92
f1-score,0.95,0.97,0.92,0.96,1.0,0.98,0.76,0.9,0.67,1.0,0.92
