,electricPanel,hoist,ladder,lift,overhead,push,sit,stand,type,walk,accuracy
precision,0.94,1.0,0.93,1.0,1.0,0.96,1.0,1.0,0.94,1.0,0.97
recall,0.94,1.0,1.0,0.92,1.0,1.0,0.94,0.94,0.94,1.0,0.97
f1-score,0.94,1.0,0.96,0.96,1.0,0.98,0.97,0.97,0.94,1.0,0.97
