,electricPanel,hoist,ladder,lift,overhead,push,sit,stand,type,walk,accuracy
precision,0.25,0.91,0.74,0.67,0.19,0.0,1.0,1.0,1.0,1.0,0.6
recall,0.44,0.91,0.33,0.87,0.5,0.0,0.94,1.0,1.0,0.28,0.6
f1-score,0.32,0.91,0.46,0.75,0.28,0.0,0.97,1.0,1.0,0.43,0.6
